İlçe,Metrekare,Oda_Sayısı,Binanın_Yaşı,Fiyatı,Site_Icerisinde,Bulundugu_Kat,Kat_Sayisi,Isitma_Tipi,Veri_Kaynagi,Isitma_Skoru,İlçe_Kod,Oda_Metrekare,Yaş_Grup,Metrekare_Log,Oda_Sayisi_Log,Metrekare_x_Oda,Yas_x_Metrekare,İlçe_Gücü,Giris_Kat_Mi,Site_Bonus,Kat_Orani,Ilce_Oda_Key,İlçe_Oda_Gücü
Beşiktaş,220,4.0,4.0,30000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,53.65853658536586,0,5.3981627015177525,1.6094379124341003,880.0,880.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,217,3.0,10.0,25000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,70.0,1,5.384495062789089,1.3862943611198906,651.0,2170.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_3,27756909.722222224
Beşiktaş,221,4.0,10.0,30000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,53.90243902439025,1,5.402677381872279,1.6094379124341003,884.0,2210.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,180,4.0,30.0,8600000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,43.90243902439025,3,5.198497031265826,1.6094379124341003,720.0,5400.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,220,4.0,4.0,33000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,53.65853658536586,0,5.3981627015177525,1.6094379124341003,880.0,880.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,120,3.0,30.0,1750000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,38.70967741935484,3,4.795790545596741,1.3862943611198906,360.0,3600.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_3,27756909.722222224
Beşiktaş,115,3.0,30.0,5450000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,37.096774193548384,3,4.7535901911063645,1.3862943611198906,345.0,3450.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_3,27756909.722222224
Beşiktaş,95,3.0,30.0,2400000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,30.64516129032258,3,4.564348191467836,1.3862943611198906,285.0,2850.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_3,27756909.722222224
Beşiktaş,190,4.0,10.0,9400000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,46.34146341463415,1,5.25227342804663,1.6094379124341003,760.0,1900.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,340,6.0,30.0,40000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,55.73770491803279,3,5.831882477283517,1.9459101490553132,2040.0,10200.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_6,42748333.333333336
Beşiktaş,890,3.0,30.0,98000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,287.09677419354836,3,6.792344427470809,1.3862943611198906,2670.0,26700.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_3,27756909.722222224
Beşiktaş,600,6.0,7.5,118000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,98.36065573770492,1,6.398594934535208,1.9459101490553132,3600.0,4500.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_6,42748333.333333336
Beşiktaş,421,3.0,30.0,12500000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,135.80645161290323,3,6.045005314036012,1.3862943611198906,1263.0,12630.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_3,27756909.722222224
Beşiktaş,140,4.0,30.0,4400000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,34.146341463414636,3,4.948759890378168,1.6094379124341003,560.0,4200.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,340,7.0,30.0,30000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,47.887323943661976,3,5.831882477283517,2.0794415416798357,2380.0,10200.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_7,47342307.692307696
Beşiktaş,320,6.0,30.0,26000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,52.459016393442624,3,5.771441123130016,1.9459101490553132,1920.0,9600.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_6,42748333.333333336
Beşiktaş,110,2.0,30.0,7500000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,52.38095238095238,3,4.709530201312334,1.0986122886681098,220.0,3300.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_2,14200681.818181818
Beşiktaş,900,3.0,10.0,60000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,290.3225806451613,1,6.803505257608338,1.3862943611198906,2700.0,9000.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_3,27756909.722222224
Beşiktaş,95,3.0,30.0,2750000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,30.64516129032258,3,4.564348191467836,1.3862943611198906,285.0,2850.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_3,27756909.722222224
Beşiktaş,300,5.0,30.0,29000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,58.82352941176471,3,5.707110264748875,1.791759469228055,1500.0,9000.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_5,38385762.711864404
Beşiktaş,187,4.0,30.0,13000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,45.60975609756098,3,5.236441962829949,1.6094379124341003,748.0,5610.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,100,3.0,10.0,2950000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,32.25806451612903,1,4.61512051684126,1.3862943611198906,300.0,1000.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_3,27756909.722222224
Beşiktaş,120,3.0,1.0,1875000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,38.70967741935484,0,4.795790545596741,1.3862943611198906,360.0,120.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_3,27756909.722222224
Beşiktaş,144,4.0,4.0,2500000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,35.1219512195122,0,4.976733742420574,1.6094379124341003,576.0,576.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,85,3.0,4.0,1250000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,27.419354838709676,0,4.454347296253507,1.3862943611198906,255.0,340.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_3,27756909.722222224
